Time_Second,Trust_Score,Status,Divergence
0,0.9479,Normal,0.105
1,0.8952,Normal,0.132
2,0.8982,Normal,0.0328
3,0.8075,Challenge,0.282
4,0.7302,Challenge,0.3011
5,0.683,Challenge,0.245
6,0.7034,Challenge,0.0843
7,0.7572,Challenge,0.0097
8,0.786,Challenge,0.0363
9,0.7498,Challenge,0.1748
10,0.7643,Challenge,0.068
11,0.7435,Challenge,0.1446
12,0.7693,Challenge,0.0474
13,0.7733,Challenge,0.0824
14,0.7598,Challenge,0.1214
15,0.7516,Challenge,0.1149
16,0.6687,Challenge,0.3786
17,0.6143,Challenge,0.3215
18,0.6602,Challenge,0.0592
19,0.6806,Challenge,0.0944
20,0.6497,Challenge,0.2237
21,0.6429,Challenge,0.1688
22,0.6211,Challenge,0.2185
23,0.6428,Challenge,0.1095
24,0.6363,Challenge,0.1721
25,0.5677,Challenge,0.4267
26,0.5392,Challenge,0.2977
27,0.5792,Challenge,0.1051
28,0.5908,Challenge,0.1568
29,0.5377,Challenge,0.3909
30,0.5975,Challenge,0.0621
31,0.5478,Challenge,0.3662
32,0.5721,Challenge,0.1398
33,0.5973,Challenge,0.125
34,0.5725,Challenge,0.2606
35,0.5174,Challenge,0.4225
36,0.4564,Challenge,0.539
37,0.5369,Challenge,0.053
38,0.4758,Challenge,0.5092
39,0.5301,Challenge,0.1013
40,0.5678,Challenge,0.1152
41,0.5936,Challenge,0.1257
42,0.6471,Challenge,0.0519
43,0.6135,Challenge,0.2561
44,0.6313,Challenge,0.1229
45,0.6228,Challenge,0.1843
46,0.5907,Challenge,0.2685
47,0.5978,Challenge,0.1628
48,0.6619,Challenge,0.0297
49,0.7204,Challenge,0.0162
50,0.6545,Challenge,0.327
51,0.6562,Challenge,0.143
52,0.6842,Challenge,0.0794
53,0.7089,Challenge,0.0744
54,0.6905,Challenge,0.168
55,0.7333,Challenge,0.035
56,0.7005,Challenge,0.1959
57,0.6783,Challenge,0.1839
58,0.6901,Challenge,0.1062
59,0.6598,Challenge,0.2152
60,0.6913,Challenge,0.0703
61,0.7306,Challenge,0.0413
62,0.7734,Challenge,0.0198
63,0.7752,Challenge,0.0854
64,0.7646,Challenge,0.1134
65,0.7101,Challenge,0.2467
66,0.7344,Challenge,0.0643
67,0.6997,Challenge,0.2011
68,0.7154,Challenge,0.0873
69,0.7519,Challenge,0.0375
70,0.721,Challenge,0.1793
71,0.6576,Challenge,0.3152
72,0.6663,Challenge,0.1236
73,0.5819,Challenge,0.4904
74,0.5663,Challenge,0.2385
75,0.5276,Challenge,0.3435
